name,category,price,description
Mushroom Swiss Double Medium Value Meal,Beef,21.9,"Melted Swiss cheese on two flame-grilled beef patties, topped with BK""s special mushroom sauce, served on a toasted sesame seed bun"
Mushroom Swiss Double Large Value Meal,Beef,23.9,"Melted Swiss cheese on two flame-grilled beef patties, topped with BK""s special mushroom sauce, served on a toasted sesame seed bun"
Single BBQ Beefacon,Beef,12.4,"Our signature flame-grilled beef patty topped with Beefacon® , cheese & our special smokey BBQ sauce all in a toasted sesame seed bun."
Single BBQ Beefacon Medium Value Meal,Beef,17.41,"Our signature flame-grilled beef patty topped with Beefacon® , cheese & our special smokey BBQ sauce all in a toasted sesame seed bun."
Single BBQ Beefacon Large Value Meal,Beef,19.4,"Our signature flame-grilled beef patty topped with Beefacon® , cheese & our special smokey BBQ sauce all in a toasted sesame seed bun."
Double BBQ Beefacon,Beef,16.9,"Grab hold of our double BBQ Beefacon® with cheese slices, Beefacon® & delicious smokey BBQ sauce"
Double BBQ Beefacon Medium Value Meal,Beef,21.9,"Grab hold of our double BBQ Beefacon® with cheese slices, Beefacon® & delicious smokey BBQ sauce"
Double BBQ Beefacon Large Value Meal,Beef,23.9,"Grab hold of our double BBQ Beefacon® with cheese slices, Beefacon® & delicious smokey BBQ sauce"
Cheeseburger,Beef,9.4,"A signature flame-grilled beef patty topped with a simple layer of melted American cheese, crinkle cut pickles, yellow mustard & ketchup on a toasted sesame seed bun."
Cheeseburger Medium Value Meal,Beef,14.39,"A signature flame-grilled beef patty topped with a simple layer of melted American cheese, crinkle cut pickles, yellow mustard & ketchup on a toasted sesame seed bun."
Cheeseburger Large Value Meal,Beef,16.4,"A signature flame-grilled beef patty topped with a simple layer of melted American cheese, crinkle cut pickles, yellow mustard & ketchup on a toasted sesame seed bun."
Double Cheeseburger,Beef,13.9,"Two signature flame-grilled beef patties topped with a simple layer of melted American cheese, crinkle cut pickles, yellow mustard & ketchup on a toasted sesame seed bun."
Double Cheeseburger Medium Value Meal,Beef,18.9,"Two signature flame-grilled beef patties topped with a simple layer of melted American cheese, crinkle cut pickles, yellow mustard & ketchup on a toasted sesame seed bun."
Double Cheeseburger Large Value Meal,Beef,20.9,"Two signature flame-grilled beef patties topped with a simple layer of melted American cheese, crinkle cut pickles, yellow mustard & ketchup on a toasted sesame seed bun."
Long Cheesy Onion Beef,Beef,15.4,"Meet the long cheesy onion beef burger! Featuring 2 pieces of our signature flame-grilled beef patties topped with nachos cheese sauce, mayonnaise, mustard, pickles and fresh onions served between two long sesame seed buns - this tender & juicy burger is what you’re looking for"
Long Cheesy Onion Beef Medium Value Meal,Beef,20.41,"Meet the long cheesy onion beef burger! Featuring 2 pieces of our signature flame-grilled beef patties topped with nachos cheese sauce, mayonnaise, mustard, pickles and fresh onions served between two long sesame seed buns - this tender & juicy burger is what you’re looking for"
Long Cheesy Onion Beef Large Value Meal,Beef,22.4,"Meet the long cheesy onion beef burger! Featuring 2 pieces of our signature flame-grilled beef patties topped with nachos cheese sauce, mayonnaise, mustard, pickles and fresh onions served between two long sesame seed buns - this tender & juicy burger is what you’re looking for"
Fish n Crisp,Fish,9.4,
Fish n Crisp Medium Value Meal,Fish,14.39,
Fish n Crisp Large Value Meal,Fish,16.4,
Fried Chicken Ori 1P,Sides,7.5,"Crunchy on the outside. Juicy on the inside. Per piece. Crunchy on the outside. Juicy on the inside. Be warned, our fried chicken can be pretty addictive"
Fried Chicken Spicy 1P,Sides,7.5,"Crunchy on the outside. Juicy on the inside. Per piece. Crunchy on the outside. Juicy on the inside. Be warned, our fried chicken can be pretty addictive"
French Fries Medium,Sides,5.5,"Classic French fries, fried to a crisp golden brown."
French Fries Large,Sides,6.9,"Classic French fries, fried to a crisp golden brown."
Cheesy Fries,Sides,6.5,"Golden-brown classic French fries drenched with irresistibly distinctive nacho cheese for a treat that""s bursting with aroma and taste. Take golden-brown classic French fries, drench with irresistibly distinctive nacho cheese for a treat that""s bursting with aroma & taste. Perfect for lunchtime, din"
Cheesy Loaded Fries,Sides,7.5,"Golden-brown classic French fries drenched with irresistibly distinctive nacho cheese for a treat that""s bursting with aroma and taste. Take golden-brown classic French fries, drench with irresistibly distinctive nacho cheese for a treat that""s bursting with aroma & taste. Perfect for lunchtime, din"
Tri Colour Fries,Sides,8.5,"Crispy multicoloured sweet potato fries with tender middles - your new go-to snack or side! All real, 100% natural colour"
Onion Rings Medium,Sides,5.9,"Just ask fans of our famous onion rings, bursting with refreshing onion goodness inside! Perfect snack on its own or with a meal"
Onion Rings Large,Sides,8.5,"Just ask fans of our famous onion rings, bursting with refreshing onion goodness inside! Perfect snack on its own or with a meal"
9pcs Nuggets w/ Nacho Cheese,Sides,13.9,"Are all chicken nuggets the same? Only if they are made with the same love as BK nuggets are. They""re crispier. They""re juicier. They""re tastier. Hungry yet?"
5Pcs Nuggets w/ Nacho Cheese,Sides,9.5,"Are all chicken nuggets the same? Only if they are made with the same love as BK nuggets are. They""re crispier. They""re juicier. They""re tastier. Hungry yet?"
Mozzarella Cheese Stick Medium,Sides,7.5,Fried crispy until golden brown and served hot and melty. Mozzarella sticks are always the perfect ending to your meal!
Mozzarella Cheese Stick Large,Sides,11.5,Fried crispy until golden brown and served hot and melty. Mozzarella sticks are always the perfect ending to your meal!
Mushroom Veggie Burger,Salads & Veggies,6.5,"Our mushroom veggie burger features our famous chunky mushroom in special sauce combination that compliments the burger so well, it's like a party in your mouth"
Salad,Salads & Veggies,5.5,Something light on the tummy but super packed with great nutrients
Taro Pie,Dessert,4.99,
Pineapple Pie,Dessert,4.99,
Hershey Pie,Dessert,8.5,"Say hello to our Hershey’s® Sundae Pie. One part crunchy chocolate crust and one part chocolate crème filling, garnished with a delicious topping of fudge drizzle and real Hershey’s® Chocolate Chips"
Apple Pie,Dessert,4.99,Tender apple chunks in a crispy pie crust. It’s the perfect way to end a meal
Banana Pie,Dessert,4.99,Smooth banana filling in a crispy pie crust. A sweet treat that can’t be beat
Coca-Cola Medium,Beverages,3.9,
Coca-Cola Large,Beverages,4.9,
Sprite Medium,Beverages,3.9,
Sprite Large,Beverages,4.9,
Heaven & Earth Ice Lemon Tea Medium,Beverages,3.9,
Heaven & Earth Ice Lemon Tea Large,Beverages,4.9,
Minute Maid Orange Medium,Beverages,3.9,
Minute Maid Orange Large,Beverages,4.9,
Fanta Grape Medium,Beverages,3.9,
Fanta Grape Large,Beverages,4.9,
Coke-Zero Medium,Beverages,3.9,
Coke-Zero Large,Beverages,4.9,
Hot Americano,Beverages,6.5,
Iced Americano,Beverages,7.5,
Hot Cappuccino,Beverages,7.5,
Hot Latte,Beverages,7.9,
Iced Latte,Beverages,9.5,
Hot Milo,Beverages,6.5,
Hot Teh Tarik,Beverages,5.5,
Iced Teh Tarik,Beverages,6.9,
Hot Tea,Beverages,4.51,
Hot Chocolate,Beverages,6.5,
Iced Chocolate,Beverages,7.5,
Hot Mocha,Beverages,7.9,
Iced Mocha,Beverages,9.5,
Mineral Water 600ml,Beverages,3.9,
(NOT FOR SALE) Coca-Cola Zero Sugar 250m,Not For Sale,3.0,Free x1 Coca-Cola Zero Sugar 250ml PET upon RM20 minimum spend (While stock last)
